Library	Data Size	Compression	Success	Time
dankogai-js-deflate Level(2)	17851	27.533%	FAILURE	3.1
dankogai-js-deflate Level(4)	17851	26.099%	OK	5.2
dankogai-js-deflate Level(6)	17851	25.752%	OK	7
dankogai-js-deflate Level(8)	17851	25.707%	OK	4.8
dankogai-js-deflate Level(2)	27984	23.531%	OK	3.3
dankogai-js-deflate Level(4)	27984	22.370%	OK	7.1
dankogai-js-deflate Level(6)	27984	21.866%	OK	9.5
dankogai-js-deflate Level(8)	27984	21.784%	OK	8.3
dankogai-js-deflate Level(2)	42014	22.800%	OK	4.5
dankogai-js-deflate Level(4)	42014	21.355%	OK	14.1
dankogai-js-deflate Level(6)	42014	20.812%	OK	12.9
dankogai-js-deflate Level(8)	42014	20.705%	OK	10.1
dankogai-js-deflate Level(2)	61684	21.271%	OK	5.5
dankogai-js-deflate Level(4)	61684	19.743%	OK	11.5
dankogai-js-deflate Level(6)	61684	19.193%	OK	14
dankogai-js-deflate Level(8)	61684	19.050%	OK	14.9
dankogai-js-deflate Level(2)	111927	19.854%	OK	10.8
dankogai-js-deflate Level(4)	111927	18.408%	OK	17.7
dankogai-js-deflate Level(6)	111927	17.860%	OK	23.8
dankogai-js-deflate Level(8)	111927	17.723%	OK	26.4